Date,VIX_Close,BTC_Close,cpu_index,"Emission intensity, gCO2e/kWh","Monthly consumption, TWh","Cumulative consumption, TWh"
2017-05-01,10.41,2286.409912,188.2838042,529.877554,0.7692,18.6717
2017-06-01,11.18,2480.840088,201.6878786,529.877554,0.9188,19.5905
2017-07-01,10.26,2875.340088,150.6200572,529.877554,1.01,20.6005
2017-08-01,10.59,4703.390137,125.4631782,529.877554,1.0999,21.7004
2017-09-01,9.51,4338.709961,102.3736787,529.877554,1.2614,22.9618
2017-10-01,10.18,6468.399902,107.9960189,529.877554,1.4572,24.419
2017-11-01,11.28,10233.599609,150.3878823,529.877554,1.4447,25.8637
2017-12-01,11.04,14156.400391,141.8917263,529.7666650322581,2.4408,28.3045
2018-01-01,13.54,10221.099609,120.6551214,526.439996,2.7833,31.0877
2018-02-01,19.85,10397.900391,117.812332,526.439996,2.4853,33.573
2018-03-01,19.969999,6973.529785,149.7899075,526.439996,2.9306,36.5036
2018-04-01,15.93,9240.549805,171.0598216,526.439996,2.8927,39.3963
2018-05-01,15.43,7494.169922,175.2114079,526.439996,3.5143,42.9106
2018-06-01,16.09,6404.0,150.5158108,526.439996,4.0268,46.9374
2018-07-01,12.83,7780.439941,196.5221071,526.439996,4.0546,50.992
2018-08-01,12.86,7037.580078,143.6970221,526.439996,4.6611,55.6531
2018-09-01,12.12,6625.560059,79.47310311,526.439996,4.564,60.2171
2018-10-01,21.23,6317.609863,103.7215692,526.439996,4.6581,64.8752
2018-11-01,18.07,4017.268555,156.1780515,526.439996,3.8245,68.6997
2018-12-01,25.42,3742.700439,154.8508354,525.9996777419354,2.9258,71.6255
2019-01-01,16.57,3457.792725,211.221614,512.79013,3.2029,74.8284
2019-02-01,14.78,3854.7854,263.6796844,512.79013,2.8459,77.6742
2019-03-01,13.71,4105.404297,165.9910569,512.79013,3.2867,80.9609
2019-04-01,13.12,5350.726563,94.5296649,512.79013,3.4464,84.4073
2019-05-01,18.709999,8574.501953,116.1994316,512.79013,4.1245,88.5319
2019-06-01,15.08,10817.155273,173.196342,512.79013,4.1935,92.7254
2019-07-01,16.120001,10085.62793,131.1424573,512.79013,5.1472,97.8726
2019-08-01,18.98,9630.664063,188.6663965,508.7884175419636,5.219,103.0916
2019-09-01,16.24,8293.868164,346.612379,390.26670890538793,5.9552,109.0468
2019-10-01,13.22,9199.584961,199.8493538,436.26602818042886,6.0206,115.0674
2019-11-01,12.62,7569.629883,170.0483914,487.99859373137207,5.5421,120.6095
2019-12-01,13.78,7193.599121,242.8845589,562.8879108604947,5.6457,126.2553
2020-01-01,18.84,9350.529297,209.3470847,581.1835424767144,6.2975,132.5527
2020-02-01,40.110001,8599.508789,205.0062418,588.3852328589636,6.0538,138.6066
2020-03-01,53.540001,6438.644531,276.603415,594.5198165238365,5.7149,144.3215
2020-04-01,34.150002,8658.553711,245.285638,589.9137784481235,5.7463,150.0677
2020-05-01,27.51,9461.058594,221.9758722,509.8020939635049,5.642,155.7097
2020-06-01,30.43,9137.993164,138.3028987,416.7351761607572,4.6214,160.3311
2020-07-01,24.459999,11323.466797,133.1777329,397.48691616879864,4.6824,165.0135
2020-08-01,26.41,11680.820313,202.7847937,396.10442851981355,5.1729,170.1864
2020-09-01,26.370001,10784.491211,184.3543472,360.7814637840019,5.3084,175.4947
2020-10-01,38.02,13780.995117,272.16406,401.929681115654,5.3098,180.8045
